true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,802937,1.0,1.5809708607275539,-0.09411323677947336,-2.352830919486834,1.6405648218552071,-9.411323677947335,-75567.0
-4,504900,1.0,1.5770330758566053,-0.06272925331748862,-1.5682313329372155,1.6420060524222142,-6.272925331748861,-31672.0
-3,802975,1.0,1.5767439833120582,-0.05018587129113609,-1.2546467822784022,1.6452184683682387,-5.018587129113609,-40298.0
-2,1371375,1.0,1.5764506426032268,-0.03858609060249749,-0.9646522650624373,1.6474842903806648,-3.858609060249749,-52916.0
-1,2347170,1.0,1.5760473250765816,-0.024623695769799375,-0.6155923942449844,1.6508973583811377,-2.4623695769799374,-57796.0
0,8619197,1.0,1.575711983378498,-0.008124770787812367,-0.2031192696953092,1.6541537822614782,-0.8124770787812368,-70029.0
1,2226142,1.0,1.5748986362954385,0.007819806643062302,0.19549516607655754,1.656366232604174,0.7819806643062303,17408.0
2,1305512,1.0,1.5754332399855382,0.0225183682723713,0.5629592068092825,1.6592839601185527,2.25183682723713,29398.0
3,769146,1.0,1.5754317125747257,0.029721275284536355,0.7430318821134089,1.6634863050575481,2.9721275284536355,22860.0
4,483156,1.0,1.5742265438077971,0.04412653470100754,1.1031633675251884,1.664384612494257,4.4126534701007545,21320.0
5,293531,1.0,1.5768590029673186,0.05332656516688186,1.3331641291720466,1.6706625344853248,5.3326565166881865,15653.0
6,183980,1.0,1.5775627785628872,0.07225241874116752,1.806310468529188,1.6699946729963047,7.225241874116752,13293.0
7,112149,1.0,1.5793542519326966,0.0748914390676689,1.8722859766917226,1.6766067620726626,7.48914390676689,8399.0
>=8,177830,1.0,1.5818253388067256,0.09679469155935444,2.419867288983861,1.6848422906168958,9.679469155935443,17213.0
