true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,450260,1.0,1.5805845511482255,-0.1076289255097055,-2.6907231377426375,1.636576925436699,-10.76289255097055,-48461.0
-4,432791,1.0,1.5773456472061573,-0.07258237809935973,-1.8145594524839932,1.6405115569072664,-7.258237809935974,-31413.0
-3,799764,1.0,1.575973662230358,-0.05611155290810789,-1.4027888227026972,1.643380396829225,-5.611155290810789,-44876.0
-2,1461535,1.0,1.5757296267280634,-0.040295990174713574,-1.0073997543678392,1.6460865941834488,-4.029599017471357,-58894.0
-1,2679224,1.0,1.5756689250320242,-0.02765352952944584,-0.691338238236146,1.6495343777436657,-2.765352952944584,-74090.0
0,8617182,1.0,1.575325088874762,-0.009076285031463882,-0.22690712578659705,1.653454946186073,-0.9076285031463882,-78212.0
1,2552067,1.0,1.5743375859646318,0.01068780717747614,0.2671951794369035,1.655872608405978,1.068780717747614,27276.0
2,1400186,1.0,1.5744193985656192,0.023970386791469133,0.5992596697867283,1.6604675872267742,2.397038679146913,33563.0
3,765746,1.0,1.5749217103321467,0.035801688810650004,0.8950422202662501,1.6643995985471591,3.5801688810650005,27415.0
4,413912,1.0,1.576209435822107,0.05573406907748507,1.3933517269371267,1.6653845352893373,5.573406907748507,23069.0
5,217770,1.0,1.576998668319787,0.0709647793543647,1.7741194838591174,1.6738157416999064,7.09647793543647,15454.0
6,111510,1.0,1.5781813290287867,0.08274594206797596,2.068648551699399,1.6742402664630014,8.274594206797596,9227.0
7,53886,1.0,1.5782763612069926,0.08948520951638644,2.237130237909661,1.685682828740718,8.948520951638644,4822.0
>=8,44167,1.0,1.5857314284420494,0.11698779631851836,2.9246949079629587,1.6965730026373274,11.698779631851835,5167.0
