true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,607920,1.0,1.581061652849059,-0.09961672588498487,-2.490418147124622,1.6411083033064047,-9.961672588498487,-60559.0
-4,549486,1.0,1.5782349322821692,-0.0669061632143494,-1.672654080358735,1.6428919048347903,-6.690616321434941,-36764.0
-3,739310,1.0,1.5770596907927663,-0.05210398885447241,-1.3025997213618103,1.6457918728054655,-5.210398885447241,-38521.0
-2,1595455,1.0,1.5756025710533985,-0.03788386385075104,-0.9470965962687761,1.646645781751027,-3.788386385075104,-60442.0
-1,2346164,1.0,1.5748136106427342,-0.026576147277001947,-0.6644036819250487,1.6472074516572175,-2.657614727700195,-62352.0
0,8617712,1.0,1.5755965156412746,-0.00847614772923486,-0.2119036932308715,1.6542154128397204,-0.847614772923486,-73045.0
1,2227497,1.0,1.5751576769800364,0.006962972340703489,0.17407430851758723,1.6569977097754915,0.6962972340703489,15510.0
2,1515062,1.0,1.5762193230376051,0.02099320027827244,0.524830006956811,1.6616952443549915,2.099320027827244,31806.0
3,702374,1.0,1.5755722734611475,0.0356718785148653,0.8917969628716325,1.6622068127001932,3.56718785148653,25055.0
4,523161,1.0,1.574444578246467,0.04447388088943939,1.1118470222359849,1.664323805434619,4.4473880889439386,23267.0
5,225712,1.0,1.5786444672857447,0.06468419933366414,1.6171049833416034,1.6709964340449004,6.468419933366413,14600.0
6,178238,1.0,1.578580325183182,0.07574142438761655,1.8935356096904137,1.6767015417390356,7.574142438761656,13500.0
7,69040,1.0,1.5780127462340672,0.07907010428736964,1.9767526071842412,1.6812189177934476,7.907010428736964,5459.0
>=8,102869,1.0,1.5803789285401821,0.10821530295813121,2.70538257395328,1.6832600072723332,10.82153029581312,11132.0
