true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,668867,1.0,1.5800091797023923,-0.09151744666727465,-2.2879361666818663,1.6399727692232797,-9.151744666727465,-61213.0
-4,476812,1.0,1.5778545841967064,-0.05957484291502731,-1.4893710728756826,1.6452336303972537,-5.95748429150273,-28406.0
-3,793070,1.0,1.5774193955136369,-0.04876114340474359,-1.2190285851185898,1.6473485114925324,-4.876114340474359,-38671.0
-2,1379594,1.0,1.5766218177231852,-0.034542771279086455,-0.8635692819771614,1.6489255966677856,-3.4542771279086457,-47655.0
-1,2398042,1.0,1.5751842544876196,-0.025615064289949883,-0.6403766072487471,1.65048254843537,-2.5615064289949885,-61426.0
0,8852016,1.0,1.5752053543509186,-0.009560646975784952,-0.2390161743946238,1.653756084186829,-0.9560646975784951,-84631.0
1,2272155,1.0,1.574670742092859,0.007259187863504031,0.18147969658760077,1.6568781035924152,0.7259187863504031,16494.0
2,1310887,1.0,1.5748130845755584,0.020359497042841984,0.5089874260710496,1.6592396048628653,2.0359497042841985,26689.0
3,756472,1.0,1.574661058175319,0.031077158176376653,0.7769289544094163,1.6625408374056743,3.1077158176376654,23509.0
4,454125,1.0,1.5761078998073217,0.04286484998623727,1.0716212496559316,1.6649728312093819,4.286484998623727,19466.0
5,263267,1.0,1.5745801790577627,0.06060387363399135,1.5150968408497838,1.6669114681764734,6.060387363399134,15955.0
6,160624,1.0,1.5765452236278514,0.06881910548859448,1.7204776372148618,1.6687711798720481,6.881910548859448,11054.0
7,91855,1.0,1.5772032006967502,0.07264710685319253,1.8161776713298132,1.6734313871310325,7.264710685319253,6673.0
>=8,122214,1.0,1.5792380578329814,0.10944736282258988,2.736184070564747,1.678979910193264,10.944736282258988,13376.0
