true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,527087,2.0,3.1616089943405927,-0.19438157268154974,-4.8595393170387435,2.6488155779597613,-9.719078634077487,-102456.0
-4,499483,2.0,3.1557330279509013,-0.13492351091028124,-3.3730877727570308,2.6480485350584098,-6.7461755455140615,-67392.0
-3,722538,2.0,3.1530867580667037,-0.10494534543511898,-2.6236336358779746,2.6427268912189668,-5.247267271755949,-75827.0
-2,1551528,2.0,3.1527932463996784,-0.08037882655034263,-2.0094706637585658,2.644795459327594,-4.0189413275171315,-124710.0
-1,2388169,2.0,3.1517233495619448,-0.05195109726321714,-1.2987774315804284,2.6451760750497817,-2.5975548631608567,-124068.0
0,8893344,2.0,3.1510968202736787,-0.017842332422989597,-0.44605831057473994,2.6472230237365513,-0.8921166211494799,-158678.0
1,2266472,2.0,3.1501840746322918,0.017966248866079088,0.4491562216519772,2.647313290404358,0.8983124433039543,40720.0
2,1480354,2.0,3.1483483004740758,0.03968375131894128,0.992093782973532,2.6474326660967122,1.984187565947064,58746.0
3,689194,2.0,3.150616517265095,0.0681839946372139,1.7045998659303476,2.6547617574472335,3.4091997318606952,46992.0
4,477142,2.0,3.1517724283337034,0.09659598190894954,2.4148995477237385,2.654919483535111,4.829799095447477,46090.0
5,210700,2.0,3.1536687233032747,0.11275272899857618,2.8188182249644043,2.655315283887153,5.6376364499288085,23757.0
6,150851,2.0,3.1587725636555275,0.14479850978780387,3.619962744695097,2.6653835655957256,7.239925489390193,21843.0
7,60942,2.0,3.156722785599422,0.17354205638147746,4.338551409536937,2.6625508275682717,8.677102819073873,10576.0
>=8,82196,2.0,3.167611562606453,0.214572485279089,5.364312131977226,2.664648688602293,10.728624263954451,17637.0
