true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,350241,1.0,1.5822476523308235,-0.09501172050102644,-2.375293012525661,1.6406763123395844,-9.501172050102644,-33277.0
-4,367619,1.0,1.576896188717123,-0.07022487956280823,-1.7556219890702058,1.640053915709469,-7.022487956280823,-25816.0
-3,726524,1.0,1.5776244143345575,-0.05517642913379324,-1.379410728344831,1.64577840573439,-5.517642913379324,-40087.0
-2,1409394,1.0,1.576762778896462,-0.04218905430277126,-1.0547263575692816,1.6465983495821432,-4.218905430277126,-59461.0
-1,2715637,1.0,1.5759061317841818,-0.026610699441788427,-0.6652674860447106,1.650284103900588,-2.6610699441788426,-72265.0
0,9158907,1.0,1.575228354213008,-0.009341726037833991,-0.23354315094584976,1.654259085473446,-0.9341726037833991,-85560.0
1,2572627,1.0,1.5753865601192867,0.009559877899128011,0.23899694747820027,1.6573610031158643,0.9559877899128012,24594.0
2,1334987,1.0,1.5751801328402448,0.02241894490358333,0.5604736225895832,1.6598167486707704,2.241894490358333,29929.0
3,685131,1.0,1.575421342779702,0.034329201276836106,0.8582300319209026,1.6635868520947712,3.432920127683611,23520.0
4,347329,1.0,1.574403519429705,0.047030337230694816,1.1757584307673703,1.6654033924002944,4.703033723069482,16335.0
5,173650,1.0,1.5768960552836164,0.06164123236395048,1.5410308090987619,1.672094765720564,6.1641232363950476,10704.0
6,84356,1.0,1.5776589691308265,0.07969794679690834,1.9924486699227084,1.6789511694917532,7.969794679690834,6723.0
7,40405,1.0,1.583541640886029,0.0870931815369385,2.1773295384234626,1.6826014405749983,8.70931815369385,3519.0
>=8,33193,1.0,1.581478022474618,0.10420871870575121,2.6052179676437803,1.6882700726895898,10.420871870575121,3459.0
