true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,250238,1.0,1.5809189651451818,-0.09044589550747688,-2.261147387686922,1.6401216031930599,-9.044589550747688,-22633.0
-4,365606,1.0,1.577613605903623,-0.06608480167174499,-1.6521200417936248,1.6418838835675758,-6.608480167174499,-24161.0
-3,625662,1.0,1.576634029236233,-0.052490002589257456,-1.3122500647314363,1.6449621854053427,-5.249000258925746,-32841.0
-2,1491731,1.0,1.575564227062386,-0.035981688387517585,-0.8995422096879396,1.646357341796847,-3.598168838751759,-53675.0
-1,2510087,1.0,1.575245798253208,-0.026118616605719243,-0.6529654151429811,1.649288994471036,-2.6118616605719245,-65560.0
0,9829267,1.0,1.5754590856062818,-0.00855852221737389,-0.21396305543434727,1.653935814117337,-0.855852221737389,-84124.0
1,2363864,1.0,1.5746629247706299,0.00899248010883875,0.22481200272096874,1.6560935584181287,0.8992480108838748,21257.0
2,1399110,1.0,1.5757617342453416,0.019304414949503614,0.48261037373759036,1.662439967975765,1.9304414949503612,27009.0
3,586927,1.0,1.5757700702131612,0.031121417143869682,0.778035428596742,1.6643223544012233,3.112141714386968,18266.0
4,345367,1.0,1.5753995025581482,0.044981136008941214,1.1245284002235303,1.6651627526893673,4.498113600894121,15535.0
5,126100,1.0,1.5790007930214116,0.05605868358445678,1.4014670896114194,1.673141662479882,5.605868358445678,7069.0
6,69459,1.0,1.5740652759181675,0.06534790307951453,1.6336975769878632,1.6714226295889718,6.534790307951454,4539.0
7,21405,1.0,1.5794907731838355,0.07320719458070545,1.8301798645176361,1.6733240221673864,7.320719458070545,1567.0
>=8,15177,1.0,1.5924095671081242,0.1184687355867431,2.9617183896685777,1.694515825949066,11.846873558674309,1798.0
