true_count_bucket,rounds,avg_initial_bet_units,avg_final_wager_units,ev_units_per_round,ev_dollars_per_round,sd_units_per_round,ev_per_initial_bet_pct,profit_units
<=-5,179826,2.0,3.1641976132483625,-0.19063427980381034,-4.765856995095259,2.6480243788901627,-9.531713990190518,-34281.0
-4,279809,2.0,3.158061391878031,-0.14832260577751252,-3.708065144437813,2.651818415276833,-7.4161302888756255,-41502.0
-3,632932,2.0,3.155241005352866,-0.10656753016121795,-2.664188254030449,2.648289839531718,-5.328376508060898,-67450.0
-2,1352524,2.0,3.1524919335996997,-0.08207617757614652,-2.051904439403663,2.6452827309806173,-4.103808878807326,-111010.0
-1,2777641,2.0,3.1504661689541593,-0.05295428746911498,-1.3238571867278746,2.6450233556379046,-2.647714373455749,-147088.0
0,9878164,2.0,3.151079593333336,-0.018088381606136524,-0.4522095401534131,2.6468522414468807,-0.9044190803068263,-178680.0
1,2612265,2.0,3.150224804910681,0.017887159227720006,0.44717898069300016,2.648531572114835,0.8943579613860003,46726.0
2,1269270,2.0,3.152102389562504,0.04875873533605931,1.2189683834014828,2.649653892921296,2.4379367668029657,61888.0
3,591079,2.0,3.1549505226881687,0.07650415595884814,1.9126038989712035,2.6552293367238273,3.825207797942407,45220.0
4,260622,2.0,3.153567235306306,0.10077430147877002,2.5193575369692507,2.650684246037136,5.038715073938501,26264.0
5,106065,2.0,3.156064677320511,0.12464055060576062,3.1160137651440154,2.663854853167509,6.232027530288031,13220.0
6,39974,2.0,3.1588782708760696,0.16798418972332016,4.199604743083004,2.6577746522451022,8.399209486166008,6715.0
7,13820,2.0,3.1751808972503617,0.17713458755426917,4.428364688856729,2.693057678932973,8.856729377713458,2448.0
>=8,6009,2.0,3.161757363954069,0.22516225661507738,5.629056415376935,2.676188135525641,11.25811283075387,1353.0
