comparison,cut_decks,penetration_pct,mode,rounds,scale_factor,ev_per_round,ci95_ev_per_round,sd_per_round,avg_initial_bet,ev_per_avg_bet_pct,n0_rounds
raw,1.0,83.33333333333334,exact,20000000,1.0,1.4435269708752694,0.052870850709924304,120.63552675064669,37.531352,3.846189636001574,6983.942328929131
equal_avg_bet_to_exact,1.0,83.33333333333334,exact,20000000,1.0,1.4435269708752694,0.052870850709924304,120.63552675064669,37.531352,3.846189636001574,6983.942328929132
equal_sd_to_exact,1.0,83.33333333333334,exact,20000000,1.0,1.4435269708752694,0.052870850709924304,120.63552675064669,37.531352,3.846189636001574,6983.942328929132
raw,1.0,83.33333333333334,half,20000000,1.0,1.214048512603873,0.04695071248419795,107.12753541501495,34.245265749999994,3.5451572239700697,7786.282287686661
equal_avg_bet_to_exact,1.0,83.33333333333334,half,20000000,1.0959573879201099,1.3305454366816352,0.05145598021516968,117.40721388775884,37.531352,3.5451572239700697,7786.282287686661
equal_sd_to_exact,1.0,83.33333333333334,half,20000000,1.1260926173957184,1.367131067203474,0.052870850709924304,120.6355267506467,38.563340941829445,3.5451572239700697,7786.282287686663
raw,1.0,83.33333333333334,full,20000000,1.0,1.0202621313405358,0.04047201863586308,92.345086588192,30.301814750000002,3.3670000947403183,8192.266106003624
equal_avg_bet_to_exact,1.0,83.33333333333334,full,20000000,1.2385842996416574,1.2636806573973223,0.05012800685718458,114.377174397184,37.531352,3.3670000947403183,8192.266106003623
equal_sd_to_exact,1.0,83.33333333333334,full,20000000,1.3063556623062622,1.3328252123133644,0.052870850709924304,120.63552675064669,39.58494727681792,3.367000094740318,8192.266106003623
raw,1.25,79.16666666666666,exact,20000000,1.0,1.1758192432025334,0.04838667536825083,110.40397482512604,34.55944175,3.40230971237414,8816.339218813027
equal_avg_bet_to_exact,1.25,79.16666666666666,exact,20000000,1.0,1.1758192432025334,0.04838667536825083,110.40397482512604,34.55944175,3.40230971237414,8816.33921881303
equal_sd_to_exact,1.25,79.16666666666666,exact,20000000,1.0,1.1758192432025334,0.04838667536825083,110.40397482512604,34.55944175,3.40230971237414,8816.33921881303
raw,1.25,79.16666666666666,half,20000000,1.0,1.0777635868631945,0.044208659420594064,100.87098740671918,32.346467000000004,3.3319360252332793,8759.625337536589
