strategy,seed,rounds,profit_units,initial_bet_units,final_wager_units,ev_units_per_round,sd_units_per_round,ev_per_initial_bet_pct,ev_per_total_action_pct,avg_initial_bet,avg_final_wager
basic,202607080,2000000,92579.0,4862505.0,7656368.0,0.0462895,7.090682039281535,1.9039363455667397,1.2091764659169988,2.4312525,3.828184
tested-deviations,202607080,2000000,105336.0,4869586.0,7684479.0,0.052668,7.127071423928345,2.1631407680242223,1.3707630666958683,2.434793,3.8422395
basic,202607081,2000000,112650.0,4838886.0,7622821.0,0.056325,7.0713636941098565,2.32801516712731,1.4777993606304018,2.419443,3.8114105
tested-deviations,202607081,2000000,117302.0,4845568.0,7648630.0,0.058651,7.09998099012941,2.420810109361792,1.5336341279418668,2.422784,3.824315
basic,202607082,2000000,107812.0,4853408.0,7652023.0,0.053906,7.116846994502833,2.221366924025345,1.4089346046137081,2.426704,3.8260115
tested-deviations,202607082,2000000,110087.0,4859451.0,7677285.0,0.0550435,7.147649453709083,2.265420517667531,1.433931396320444,2.4297255,3.8386425
basic,202607083,2000000,123620.0,4833180.0,7612676.0,0.06181,7.079405591142521,2.557736314393422,1.6238705023043145,2.41659,3.806338
tested-deviations,202607083,2000000,134661.0,4839817.0,7640321.0,0.0673305,7.1089770785795725,2.7823572668140137,1.7625044811598884,2.4199085,3.8201605
basic,202607084,2000000,115008.0,4877450.0,7688096.0,0.057504,7.132343744519329,2.3579534387846106,1.4959230477871244,2.438725,3.844048
tested-deviations,202607084,2000000,119905.0,4884415.0,7715834.0,0.0599525,7.164233399167265,2.4548487382828856,1.554012178074334,2.4422075,3.857917
