label,player,dealer,tc,best_action,best_ev,runner_up,runner_up_ev,edge,combined_ci95,clear
hard 16 vs 10,"T,6",T,-3,H,-0.52758,S,-0.58562,0.05803999999999998,0.009725663618512332,True
hard 16 vs 10,"T,6",T,-2,H,-0.53306,S,-0.58734,0.054279999999999995,0.00970878342892587,True
hard 16 vs 10,"T,6",T,-1,H,-0.54406,S,-0.60154,0.057479999999999976,0.00960963172799424,True
hard 16 vs 10,"T,6",T,0,H,-0.55766,S,-0.59896,0.0413,0.009575406405934404,True
hard 16 vs 10,"T,6",T,1,H,-0.57094,S,-0.60804,0.03710000000000002,0.009482247757817426,True
hard 16 vs 10,"T,6",T,2,H,-0.58136,S,-0.6026,0.021240000000000037,0.009460178282887316,True
hard 16 vs 10,"T,6",T,3,H,-0.5956,S,-0.60788,0.012279999999999958,0.00938830811933328,True
hard 16 vs 10,"T,6",T,4,H,-0.60734,S,-0.61892,0.011580000000000035,0.0092926994404993,True
hard 16 vs 10,"T,6",T,5,S,-0.6158,H,-0.61584,4.0000000000040004e-05,0.009269334874976779,False
hard 16 vs 10,"T,6",T,6,S,-0.62344,H,-0.63304,0.009600000000000053,0.009157135626288036,True
hard 15 vs 10,"T,5",T,-3,H,-0.4832,S,-0.59018,0.10698000000000002,0.009874608879857631,True
hard 15 vs 10,"T,5",T,-2,H,-0.50204,S,-0.5898,0.08775999999999995,0.009805689398235536,True
hard 15 vs 10,"T,5",T,-1,H,-0.50654,S,-0.59088,0.08433999999999997,0.00977636547214393,True
hard 15 vs 10,"T,5",T,0,H,-0.52446,S,-0.60212,0.07765999999999995,0.009676816810193733,True
hard 15 vs 10,"T,5",T,1,H,-0.54736,S,-0.6016,0.054240000000000066,0.009602777803832223,True
hard 15 vs 10,"T,5",T,2,H,-0.55994,S,-0.60822,0.04827999999999999,0.00953670675707794,True
hard 15 vs 10,"T,5",T,3,H,-0.5724,S,-0.60932,0.03691999999999995,0.009480758777427215,True
hard 15 vs 10,"T,5",T,4,H,-0.58642,S,-0.61452,0.028099999999999903,0.00939090287362522,True
hard 15 vs 10,"T,5",T,5,H,-0.6023,S,-0.62164,0.019340000000000024,0.009302129523725888,True
hard 15 vs 10,"T,5",T,6,H,-0.61644,S,-0.62756,0.011120000000000019,0.00921462757991714,True
hard 16 vs 9,"T,6",9,-3,H,-0.49458,S,-0.59014,0.09555999999999998,0.009847884995273247,True
hard 16 vs 9,"T,6",9,-2,H,-0.50098,S,-0.59282,0.09184000000000003,0.009811061826762198,True
hard 16 vs 9,"T,6",9,-1,H,-0.5164,S,-0.59368,0.07728000000000002,0.009750148387527404,True
hard 16 vs 9,"T,6",9,0,H,-0.52634,S,-0.60076,0.07441999999999993,0.009698311437270799,True
hard 16 vs 9,"T,6",9,1,H,-0.54146,S,-0.60138,0.05991999999999997,0.009645602549164464,True
hard 16 vs 9,"T,6",9,2,H,-0.55408,S,-0.60882,0.05474000000000001,0.009561239050150267,True
hard 16 vs 9,"T,6",9,3,H,-0.55736,S,-0.60998,0.05262,0.009554087219580948,True
hard 16 vs 9,"T,6",9,4,H,-0.5696,S,-0.6101,0.04049999999999998,0.009515325954824669,True
hard 16 vs 9,"T,6",9,5,H,-0.59348,S,-0.61428,0.02080000000000004,0.009390186217452686,True
hard 16 vs 9,"T,6",9,6,H,-0.59718,S,-0.61728,0.020100000000000007,0.0093567429538774,True
hard 15 vs A,"T,5",A,-3,H,-0.502,S,-0.6749,0.17290000000000005,0.00939151334682968,True
hard 15 vs A,"T,5",A,-2,H,-0.50736,S,-0.66724,0.15988000000000002,0.009419331012054392,True
hard 15 vs A,"T,5",A,-1,H,-0.51772,S,-0.65848,0.14076,0.009412450153232069,True
hard 15 vs A,"T,5",A,0,H,-0.53898,S,-0.65186,0.11287999999999998,0.009371912110727458,True
