bucket,bet_per_hand,hands,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,10,1,0.022513,-10.76289255097055,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
-4,10,1,0.02163955,-7.258237809935974,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
-3,10,1,0.0399882,-5.611155290810789,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
-2,10,1,0.07307675,-4.029599017471357,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
-1,10,1,0.1339612,-2.765352952944584,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
0,10,1,0.4308591,-0.9076285031463882,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
1,20,1,0.12760335,1.068780717747614,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
2,40,1,0.0700093,2.397038679146913,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
3,80,1,0.0382873,3.5801688810650005,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
4,160,1,0.0206956,5.573406907748507,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
5,160,1,0.0108885,7.09647793543647,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
6,160,1,0.0055755,8.274594206797596,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
7,160,1,0.0026943,8.948520951638644,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
>=8,160,1,0.00220835,11.698779631851835,48.804097999999996,652.0942239971091,22.365760999999996,17495.815951169403,1.0143967028837864
