bucket,bet_per_spot,spots,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,10.0,1,0.04014685,-9.411323677947337,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
-4,10.0,1,0.025245,-6.272925331748862,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
-3,10.0,1,0.04014875,-5.018587129113609,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
-2,10.0,1,0.06856875,-3.858609060249749,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
-1,10.0,1,0.1173585,-2.4623695769799374,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
0,10.0,1,0.43095985,-0.8124770787812368,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
1,20.0,1,0.1113071,0.7819806643062301,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
2,40.0,2,0.0652756,3.8678067057354215,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
3,65.0,2,0.0384573,6.240749426725036,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
4,90.0,2,0.0241578,8.588024762608628,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
5,110.0,2,0.01467655,10.42603590923135,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
6,130.0,2,0.009199,12.222619407704787,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
7,160.0,2,0.00560745,15.332453301025298,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
>=8,225.0,2,0.0088915,21.39447597256584,115.35034787760895,997.9107748545076,35.43646,7334.5197485114495,0.9722097124486693
