bucket,bet_per_spot,spots,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,0.0,1,0.022513,-10.76289255097055,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
-4,0.0,1,0.02163955,-7.258237809935973,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
-3,0.0,1,0.0399882,-5.611155290810789,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
-2,0.0,1,0.07307675,-4.029599017471357,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
-1,0.0,1,0.1339612,-2.765352952944584,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
0,0.0,1,0.4308591,-0.9076285031463882,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
1,35.0,1,0.12760335,1.068780717747614,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
2,55.0,2,0.0700093,4.548331688566521,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
3,95.0,2,0.0382873,7.695407511639721,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
4,130.0,2,0.0206956,10.637410999471692,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
5,160.0,2,0.0108885,12.897103265276039,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
6,200.0,2,0.0055755,16.575665837748225,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
7,245.0,2,0.0026943,20.305159977806547,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
>=8,290.0,2,0.00220835,24.392019473576447,145.89590344679664,1124.273042996202,33.13815325,5819.470560305967,0.9882438830134064
