bucket,bet_per_spot,spots,freq,edge_pct,ev_hour,sd_hour,avg_initial_bet,n0_rounds,ror_pct
<=-5,10.0,1,0.030396,-9.961672588498487,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
-4,10.0,1,0.0274743,-6.69061632143494,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
-3,10.0,1,0.0369655,-5.210398885447241,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
-2,10.0,1,0.07977275,-3.7883863850751043,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
-1,10.0,1,0.1173082,-2.657614727700195,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
0,10.0,1,0.4308856,-0.847614772923486,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
1,20.0,1,0.11137485,0.6962972340703489,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
2,45.0,2,0.0757531,4.354542431968124,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
3,70.0,2,0.0351187,6.652297597066307,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
4,100.0,2,0.02615805,9.356457276030726,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
5,120.0,2,0.0112856,11.543693982074265,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
6,145.0,2,0.0089119,14.004077712437024,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
7,145.0,2,0.003452,14.133740792527352,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
>=8,240.0,2,0.00514345,23.541316001984804,108.29329756141708,968.33175728099,35.184458500000005,7835.582171191461,0.9855810462769288
